preprocess,kata_kunci,score,predicted_aspect,details
ok,['ok'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
developer tolol sistem matching sistem babi segi sinergi hero health point dilawanin health point sinergi bajing tolong rombak sistem jangan bikin acak sesuai urut item crystal blessing dropdapetnya jangan random tidak adil lawan dapetnya mah fate box dapetnya sisa babak creep dapetnya item ampas,"['lawan', 'bajing', 'bikin', 'acak', 'sisa', 'dilawanin', 'babak', 'segi', 'sinergi', 'dapetnya']","{'effectiveness': 0.8, 'satisfaction': 5.03}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('bajing', 'bimbang', 80.0), ('bikin', 'baik', 85.71428571428572), ('dilawanin', 'adil', 85.71428571428572), ('babak', 'baik', 85.71428571428572), ('segi', 'segar', 85.71428571428572)]}"
asik buru cobain,"['cobain', 'asik', 'buru']","{'effectiveness': 1.66, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572), ('buru', 'bug', 80.0)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572), ('buru', 'buruk', 100.0)]}"
bodoh,['bodoh'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
seru mantap king,"['seru', 'king', 'mantap']","{'effectiveness': 0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0), ('king', 'yakin', 85.71428571428572), ('mantap', 'mantap', 100.0)]}"
kadang lag signal bagus turun mulu hedeee,"['lag', 'signal', 'hedeee', 'kadang', 'turun', 'bagus', 'mulu']","{'effectiveness': 2.0, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('lag', 'lag', 100.0), ('mulu', 'mulus', 100.0)], 'satisfaction': [('kadang', 'sedang', 80.0), ('turun', 'menurunkan', 80.0), ('bagus', 'bagus', 100.0)]}"
bagus,['bagus'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
tidak masuk akal dark sistem enak old andal strategi bukan untung asa sistem tidak biar ws asa tahan slot tapi tidak tun hero rol bintang bintang carabermainya beda,"['beda', 'dark', 'bintang', 'tapi', 'untung', 'sistem', 'strategi', 'akal', 'slot', 'bukan']","{'effectiveness': 1.66, 'satisfaction': 3.26}",satisfaction,"{'effectiveness': [('beda', 'jeda', 85.71428571428572), ('bukan', 'bug', 80.0)], 'satisfaction': [('bintang', 'tenang', 80.0), ('tapi', 'mantap', 85.71428571428572), ('strategi', 'setara', 80.0), ('bukan', 'menurunkan', 80.0)]}"
kadang cari hero sinergi susah tolong ngerok hero mudah hero sinergi,"['hero', 'sinergi', 'susah', 'ngerok', 'kadang', 'cari', 'tolong', 'mudah']","{'effectiveness': 2.71, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('cari', 'lancar', 85.71428571428572), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('susah', 'susah', 100.0), ('kadang', 'sedang', 80.0), ('mudah', 'mudah', 100.0)]}"
sayang turnamen hadiah monoton kurang seru,"['turnamen', 'kurang', 'hadiah', 'monoton', 'seru', 'sayang']","{'effectiveness': 0.8, 'satisfaction': 4.71}",satisfaction,"{'effectiveness': [('sayang', 'pemeriksaan', 80.0)], 'satisfaction': [('kurang', 'curang', 90.9090909090909), ('hadiah', 'hadiah', 100.0), ('monoton', 'monoton', 100.0), ('seru', 'seru', 100.0), ('sayang', 'lumayan', 80.0)]}"
ampas,['ampas'],"{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('ampas', 'puas', 85.71428571428572)]}"
puas,['puas'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('puas', 'kepuasan', 100.0)]}"
bot tidak bot guna tidak seru lawan bot,"['bot', 'tidak', 'lawan', 'guna', 'seru']","{'effectiveness': 1.6, 'satisfaction': 3.6}",satisfaction,"{'effectiveness': [('bot', 'lemot', 80.0), ('lawan', 'kesalahan', 80.0)], 'satisfaction': [('bot', 'bonus', 80.0), ('lawan', 'kelelahan', 80.0), ('guna', 'kegunaan', 100.0), ('seru', 'seru', 100.0)]}"
crash device pada,"['crash', 'device', 'pada']","{'effectiveness': 1.0, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('crash', 'crash', 100.0)], 'satisfaction': [('pada', 'adaptasi', 85.71428571428572)]}"
iklan mbok kondisi iklan promosi iklan judol,"['iklan', 'promosi', 'judol', 'mbok', 'kondisi']","{'effectiveness': 1.75, 'satisfaction': 0.89}",effectiveness,"{'effectiveness': [('iklan', 'menyelesaikan', 88.88888888888889), ('promosi', 'opsi', 85.71428571428572)], 'satisfaction': [('iklan', 'tampilan', 88.88888888888889)]}"
ok ngisi luang,"['ngisi', 'ok', 'luang']","{'effectiveness': 0, 'satisfaction': 1.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('ngisi', 'fungsi', 88.88888888888889), ('luang', 'luang', 100.0)]}"
bagus dev main offline ml trimakasih semangat,"['offline', 'dev', 'bagus', 'trimakasih', 'semangat', 'main', 'ml']","{'effectiveness': 0.8, 'satisfaction': 4.46}",satisfaction,"{'effectiveness': [('dev', 'detail', 80.0)], 'satisfaction': [('dev', 'depresi', 80.0), ('bagus', 'bagus', 100.0), ('trimakasih', 'malas', 80.0), ('semangat', 'semangat', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
hibur,['hibur'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('hibur', 'menghibur', 100.0)]}"
hilang akun gara daftar email,"['email', 'akun', 'hilang', 'daftar', 'gara']","{'effectiveness': 1.66, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('email', 'detail', 80.0), ('akun', 'akurasi', 85.71428571428572)], 'satisfaction': [('email', 'adil', 85.71428571428572), ('hilang', 'luang', 88.88888888888889), ('gara', 'segar', 85.71428571428572)]}"
northern bintang,"['northern', 'bintang']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bintang', 'tenang', 80.0)]}"
play puas main suka main hobi susah senang ajar lihat sabar teliti kuasa menag ajar salah salah apa,"['ajar', 'play', 'sabar', 'susah', 'hobi', 'apa', 'suka', 'puas', 'lihat', 'senang']","{'effectiveness': 1.8, 'satisfaction': 5.8}",satisfaction,"{'effectiveness': [('apa', 'capaian', 100.0), ('lihat', 'pilihan', 80.0)], 'satisfaction': [('sabar', 'samar', 80.0), ('susah', 'susah', 100.0), ('apa', 'harapan', 100.0), ('suka', 'suka', 100.0), ('puas', 'kepuasan', 100.0), ('senang', 'kesenangan', 100.0)]}"
senang,['senang'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('senang', 'kesenangan', 100.0)]}"
tiiii cacatttt,"['tiiii', 'cacatttt']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
apa synerginya hayabusa bintang solusi,"['synerginya', 'bintang', 'solusi', 'apa', 'hayabusa']","{'effectiveness': 2.0, 'satisfaction': 1.8}",effectiveness,"{'effectiveness': [('solusi', 'solusi', 100.0), ('apa', 'capaian', 100.0)], 'satisfaction': [('bintang', 'tenang', 80.0), ('apa', 'harapan', 100.0)]}"
ponsel kentang tidak kuat,"['ponsel', 'kentang', 'tidak', 'kuat']","{'effectiveness': 0, 'satisfaction': 1.83}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kentang', 'tenang', 83.33333333333334), ('kuat', 'kuat', 100.0)]}"
capek capek tapi tidak bp uang apa,"['tidak', 'apa', 'tapi', 'uang', 'capek', 'bp']","{'effectiveness': 1.86, 'satisfaction': 3.86}",satisfaction,"{'effectiveness': [('apa', 'capaian', 100.0), ('uang', 'tujuan', 85.71428571428572)], 'satisfaction': [('apa', 'harapan', 100.0), ('tapi', 'mantap', 85.71428571428572), ('uang', 'luang', 100.0), ('capek', 'capek', 100.0)]}"
mantap,['mantap'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
tolong baik koneksi wifi aman tapi lag,"['wifi', 'lag', 'aman', 'koneksi', 'baik', 'tolong', 'tapi']","{'effectiveness': 2.86, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('lag', 'lag', 100.0), ('aman', 'pemeriksaan', 85.71428571428572), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('aman', 'aman', 100.0), ('baik', 'baik', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
beda ches sulit cih,"['ches', 'cih', 'beda', 'sulit']","{'effectiveness': 1.66, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('cih', 'meraih', 80.0), ('beda', 'jeda', 85.71428571428572)], 'satisfaction': [('cih', 'letih', 80.0), ('sulit', 'kesulitan', 100.0)]}"
burikk kkcak sistemmm,"['burikk', 'kkcak', 'sistemmm']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('burikk', 'bug', 80.0)], 'satisfaction': [('burikk', 'buruk', 80.0)]}"
jahanammmm mythic bintang turun bintang susah cari hero musuh tidak imbang mentang mentang bentar season aduh tolong baik maaf mah,"['hero', 'bintang', 'mythic', 'musuh', 'mentang', 'bentar', 'jahanammmm', 'cari', 'imbang', 'aduh']","{'effectiveness': 2.55, 'satisfaction': 4.41}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('bentar', 'kebenaran', 83.33333333333334), ('cari', 'lancar', 85.71428571428572)], 'satisfaction': [('bintang', 'tenang', 80.0), ('musuh', 'rusuh', 88.88888888888889), ('mentang', 'tenang', 83.33333333333334), ('jahanammmm', 'jahat', 88.88888888888889), ('imbang', 'bimbang', 100.0)]}"
