content,score,preprocess
ok,5,ok
"developer tolol soal sistem matching. Sistemnya kek babi, dari segi sinergi, Hero, sampe health point aja gw paling bawah, malah dilawanin sama yg health pointnya masih 100, sinergi udah 6, jingan. Tolong rombak lah sistem bagian ini, jangan dibikin acak atau sesuai urutan. Terus bagian item, magic crystal, sama blessing drop/dapetnya jangan random juga lah, GK adil banget sama lawan yg dapetnya selalu pas. Udah mah pas di fate box dapetnya sisaan, di babak creep juga dapetnya item ampas.",1,developer tolol sistem matching sistem babi segi sinergi hero health point dilawanin health point sinergi bajing tolong rombak sistem jangan bikin acak sesuai urut item crystal blessing dropdapetnya jangan random tidak adil lawan dapetnya mah fate box dapetnya sisa babak creep dapetnya item ampas
gamenya asik dah buruan cobain sekarang gamenya😁🙏🏻,5,asik buru cobain
game pembodohan,1,bodoh
SERU MANTAP KING,5,seru mantap king
kadang ngelag padahal signal bgus di kasi turun mulu hedeee,1,kadang lag signal bagus turun mulu hedeee
bagus,5,bagus
"game yg sangat tidak masuk akal , terlalu banyak dark di sistemnya , masih enakan MC old , mengandalkan strategi bukan keberuntungan , dan saya berasa memang sistem moonton tidak membiarkan WS , dan itu berasa bgt , saya udah nahan untuk ke slot tinggi tp tidak pernah ketemun hero dngan % an terbanyak , malah mereka yg rol bawah yg mendapat b2 bahkan b3 sbnarnya gmn moonton? carabermainya knp berbeda sekali",1,tidak masuk akal dark sistem enak old andal strategi bukan untung asa sistem tidak biar ws asa tahan slot tapi tidak tun hero rol bintang bintang carabermainya beda
kadang cari hero yg sinerginya sama susah kali tolong lah kalo saya lagi ngerok hero permudah kan dapetin Hero yang sinergi nya sama,3,kadang cari hero sinergi susah tolong ngerok hero mudah hero sinergi
sayangnya nggak ada turnamen berhadiah jdi seperti monoton kurang seru.,5,sayang turnamen hadiah monoton kurang seru
game ampas,1,ampas
sangat puas,5,puas
"Bnyak bot gk ush kasih kasih bot gunanya apa sih, gk seru lawan bot",1,bot tidak bot guna tidak seru lawan bot
sering terjadi crash padahal device saya memadai,5,crash device pada
"iklannya mbok di kondisikan, di beberapa iklannya malah kek promosi iklan judol",1,iklan mbok kondisi iklan promosi iklan judol
ok buat ngisi waktu luang,5,ok ngisi luang
"gamenya sangat bagus, saya ingin supaya Dev game ini dapat dimainkan saat offline juga seperti ml. trimakasih tetap semangat 🔥",5,bagus dev main offline ml trimakasih semangat
menghibur bngt,5,hibur
ilang akun gw gara' kedaftar sama email yg sama,1,hilang akun gara daftar email
berikan aku 10 northern baru aku bintang 5,1,northern bintang
"game play nya sangat memuaskan ya karna itu saya memainkan magic chess ini da saya suka bermain game ini karna hobi saya di game ini susah senang, dan game ini ""MENGAJARKAN BAHWA KITA HARUS LIHAT SABAR TELITI DAN KUASAI UNTUK BISA MENAG DAN KITA JUGA BELAJAR DARI KESALAHAN DARI SALAH SEKECIL APAPUN MASALAHNYA""",5,play puas main suka main hobi susah senang ajar lihat sabar teliti kuasa menag ajar salah salah apa
menyenangkan,5,senang
"game t444iiii, game cacatttt",1,tiiii cacatttt
Apapun synerginya Hayabusa B3 solusinya,5,apa synerginya hayabusa bintang solusi
hp kentang ku gak kuat😭😭😭😭,3,ponsel kentang tidak kuat
"udah capek capek main tapi gak dapet bp (uang), apalah.?!",2,capek capek tapi tidak bp uang apa
mantap,5,mantap
tolong di perbaiki masalah jaringan nya padahal WiFi aman tapi kok masih lag,1,tolong baik koneksi wifi aman tapi lag
beda sama magic ches dulu sekarang makin sulit cih.,1,beda ches sulit cih
BURIKK KKCAK SISTEMMM,1,burikk kkcak sistemmm
